bedrooms,bathrooms,car spaces,land size,price,date of sale
2,1,1,172,552000,2022-08-26
2,1,0,298,360000,2022-09-08
4,2,2,697,1153000,2022-10-11
2,1,0,184,600000,2022-10-18
2,1,1,182,622500,2022-10-19
3,1,2,453,735000,2022-10-26
1,1,1,690,1300000,2022-11-02
3,1,3,759,600000,2022-11-14
3,1,2,254,635000,2022-12-01
2,1,2,576,652500,2023-01-23
3,2,2,149,550000,2023-03-14
2,1,1,212,550000,2023-03-31
3,1,1,259,657500,2023-04-28
4,2,1,442,575000,2023-05-01
3,2,1,347,895000,2023-05-16
2,1,0,155,425000,2023-05-17
2,1,0,155,440000,2023-05-24
2,1,1,64,295000,2023-06-02
4,2,1,467,900000,2023-06-24
4,2,6,369,900000,2023-07-04
3,2,2,877,627500,2023-07-05
4,2,4,733,1275000,2023-08-03
5,2,3,556,1050100,2023-08-30
3,2,1,114,565000,2023-09-08
3,4,1,687,1165000,2023-09-18
2,1,1,390,450000,2023-09-20
4,2,2,818,1080000,2023-10-06
1,1,0,60,220000,2023-10-23
3,2,1,580,935000,2023-11-16
3,1,1,230,400000,2023-11-23
3,1,0,177,510000,2023-12-18
4,1,3,653,800000,2024-01-29
4,1,1,248,485000,2024-02-06
2,2,1,174,630000,2024-02-17
3,2,1,283,885000,2024-02-23
4,1,1,184,497000,2024-03-05
3,1,2,390,611000,2024-03-23
4,2,2,326,810000,2024-04-14
3,2,0,212,636000,2024-05-08
4,1,5,482,445000,2024-05-14
3,3,4,784,1350000,2024-06-07
