bedrooms,bathrooms,car spaces,land size,price,date of sale,tavg,tmin,tmax,avg_tavg_7_days,avg_tmin_7_days,avg_tmax_7_days,avg_tavg_30_days,avg_tmin_30_days,avg_tmax_30_days
4,2,1,309,330000,2011-10-29,10.3,13.1,16.0,11.5,7.3,18.7,10.7,6.3,18.2
2,1,1,128,330000,2014-05-30,5.0,3.7,15.1,9.2,5.7,15.3,10.0,5.9,16.3
2,1,1,147,330000,2014-09-01,7.9,8.3,13.8,9.8,3.8,17.5,7.7,2.4,15.1
2,1,1,172,330000,2016-02-22,18.3,15.1,27.1,16.0,10.1,23.3,18.3,14.4,25.8
2,1,3,263,330000,2020-07-27,9.4,1.6,13.7,5.6,-0.3,13.1,6.3,1.0,12.9
3,1,1,402,331500,2018-08-17,8.8,3.5,12.7,9.7,5.7,13.6,9.0,4.1,13.4
3,1,2,500,332000,2009-02-06,17.8,13.3,25.6,20.0,16.2,29.8,17.9,12.7,26.3
4,1,2,236,335000,2008-06-11,11.2,8.2,15.4,8.5,4.8,14.8,8.9,5.3,15.4
2,1,1,179,335000,2009-09-25,9.2,5.9,15.6,9.3,6.4,15.5,9.0,6.3,14.8
2,1,0,139,335000,2012-08-17,8.8,5.1,13.3,7.1,0.6,14.4,6.5,1.9,13.2
2,1,0,139,337500,2009-04-06,9.7,2.5,16.7,13.9,11.5,21.2,15.2,11.5,22.6
2,1,1,716,337500,2015-02-19,19.7,16.6,27.1,18.0,14.5,25.2,17.0,13.1,24.9
3,1,1,441,340000,2010-12-10,11.8,13.0,16.4,16.9,15.1,23.2,15.0,12.0,22.0
3,1,1,639,340000,2011-01-19,17.6,12.6,25.6,17.5,15.4,23.0,16.1,12.0,23.5
3,2,2,495,340000,2011-10-26,10.8,3.6,18.2,12.7,8.0,19.8,10.5,6.1,18.2
3,2,1,529,340000,2014-12-05,14.5,13.2,23.2,15.7,12.6,23.0,14.0,9.9,21.7
2,1,1,152,340000,2018-02-27,17.5,7.8,24.4,15.5,10.6,24.0,16.7,13.2,24.9
2,1,3,616,340000,2019-09-04,9.5,5.9,16.4,8.6,4.0,15.2,8.2,2.6,14.1
3,1,1,139,345000,2012-02-21,17.0,14.1,23.8,17.9,14.5,25.2,17.5,13.7,25.2
2,2,1,3650,345000,2017-08-03,5.6,-1.5,12.2,5.9,-0.0,13.5,5.9,0.9,12.7
3,1,1,268,345000,2019-03-13,10.4,2.5,20.0,15.4,10.4,20.8,17.4,11.8,24.1
5,2,0,435,347500,2011-08-09,10.4,5.5,14.1,9.9,6.5,14.4,7.2,3.3,13.2
3,2,1,170,350000,2010-09-27,6.8,11.0,14.7,10.5,6.1,17.0,8.9,5.0,15.3
3,1,1,484,350000,2011-02-17,16.9,17.4,28.1,16.9,12.3,24.1,16.6,12.4,24.0
3,1,1,679,350000,2011-03-26,12.6,8.1,19.8,15.6,13.2,21.5,15.0,11.1,22.2
3,1,1,528,350000,2016-01-29,18.1,17.2,23.6,18.3,14.0,26.0,18.5,13.8,26.6
3,1,1,257,350000,2017-03-12,16.9,15.8,25.2,17.1,13.5,25.4,15.9,11.5,24.0
4,2,1,449,350000,2017-05-18,11.0,4.8,19.5,8.6,4.7,15.7,10.3,6.2,17.6
3,2,2,321,350000,2018-07-04,10.6,8.2,15.1,6.7,1.5,12.6,7.1,2.2,13.8
3,2,1,113,352000,2019-04-11,9.7,2.4,19.5,12.8,6.0,18.6,14.9,8.7,21.7
2,1,1,406,355000,2011-09-23,6.7,10.3,15.6,11.1,6.6,18.0,9.1,5.3,15.9
3,1,2,313,356000,2015-12-08,17.3,14.0,23.6,14.9,10.9,22.8,14.3,10.6,21.8
3,1,3,438,357500,2014-10-07,10.3,10.1,17.7,10.7,7.0,18.3,10.3,5.9,17.9
4,4,3,400,360000,2013-02-02,16.2,6.3,24.1,15.1,12.3,22.5,16.9,11.9,25.1
3,2,0,492,360000,2015-06-15,8.4,1.3,12.2,5.0,1.6,12.3,6.6,2.3,13.4
2,1,1,174,360000,2018-05-10,8.4,8.0,13.5,11.5,7.3,17.6,11.1,7.0,18.7
2,1,0,298,360000,2022-09-08,12.6,6.9,19.3,8.7,4.3,15.3,9.1,4.5,15.0
2,1,0,159,360900,2018-03-27,13.2,5.2,17.8,12.8,10.7,19.6,15.2,10.9,23.2
3,2,0,107,362000,2017-12-05,13.8,7.7,22.3,15.4,12.7,22.6,16.1,11.0,24.5
3,2,0,447,364000,2016-08-02,6.3,0.4,13.5,7.3,3.9,13.4,7.6,4.8,13.3
2,1,1,2961,365000,2010-09-16,8.3,6.6,13.7,8.7,6.3,14.7,7.8,4.2,14.1
4,2,3,866,365000,2011-01-13,20.6,18.1,23.7,19.3,16.0,26.4,15.2,11.0,22.7
4,2,2,966,365000,2012-03-05,16.8,12.8,25.8,15.2,12.7,22.7,16.9,13.3,24.5
4,2,2,629,367500,2015-07-14,3.0,-0.3,9.8,7.2,3.4,13.0,6.6,2.6,12.5
3,1,2,264,367500,2019-08-14,7.7,1.0,14.3,6.7,1.1,13.3,7.6,2.1,13.6
3,2,1,260,370000,2013-03-14,14.9,7.2,24.7,20.9,16.3,30.6,18.8,14.1,27.8
4,3,0,574,370000,2015-11-26,8.5,10.7,15.4,14.5,11.3,22.2,13.9,10.0,21.5
2,1,1,259,370000,2018-03-23,15.5,13.2,21.8,14.2,11.8,20.4,15.6,11.0,23.8
4,2,2,247,375000,2011-12-12,14.6,10.4,21.7,15.7,11.5,23.0,13.7,9.9,21.0
4,2,2,400,375000,2012-03-04,16.1,13.6,21.4,16.3,12.7,23.9,17.0,13.4,24.6
2,1,2,381,375000,2014-03-18,13.8,12.3,20.6,15.6,11.6,23.4,16.6,12.0,24.8
4,2,1,285,375000,2015-02-20,20.6,18.0,30.2,18.8,15.0,25.6,17.0,13.4,25.0
2,1,1,191,375000,2016-03-05,18.6,12.9,28.4,17.6,13.9,25.0,17.7,13.8,25.0
2,1,2,379,375500,2017-09-22,10.5,3.6,16.4,8.2,3.4,15.1,7.0,2.8,13.9
2,2,2,148,377700,2010-03-23,14.7,11.0,23.6,16.6,13.9,24.4,16.4,12.6,24.7
5,2,1,531,379500,2013-12-14,14.1,5.4,19.9,13.0,10.3,19.6,13.1,10.0,20.6
2,1,2,330,380000,2011-10-28,15.3,11.9,21.7,11.3,7.3,18.4,10.7,6.2,18.2
2,1,1,563,380000,2018-07-21,6.1,-1.4,13.8,7.0,2.9,12.3,6.5,2.1,13.2
2,1,0,136,380200,2021-02-03,17.1,12.0,23.6,17.5,12.3,23.6,18.1,12.2,24.6
3,2,1,300,385000,2016-07-12,5.7,9.0,12.6,8.2,5.5,13.4,8.0,4.7,13.4
3,1,2,317,385000,2018-02-06,18.6,16.4,26.6,16.4,12.8,25.0,18.5,13.5,27.0
2,1,1,72,385000,2018-04-17,7.8,5.5,17.9,11.9,9.3,18.9,13.0,10.0,19.9
2,2,2,154,386000,2018-03-07,16.3,8.9,25.6,15.8,10.8,24.7,16.3,12.1,24.4
4,1,2,254,387000,2013-08-29,12.8,3.5,17.8,9.2,6.0,15.7,7.7,4.2,13.7
3,1,1,648,387000,2017-10-31,10.7,2.8,20.4,12.8,10.1,20.7,12.3,8.0,20.3
3,1,1,517,387500,2020-09-11,12.0,6.3,16.8,11.1,5.9,17.0,9.6,5.0,15.2
3,2,1,524,390000,2007-09-23,10.6,-0.5,16.0,9.3,5.2,16.7,9.3,5.6,16.1
3,1,2,350,390000,2010-06-10,7.1,-0.2,11.9,6.9,3.2,13.5,7.6,3.7,14.7
3,2,1,568,390000,2014-08-25,9.1,2.9,17.2,7.4,2.9,15.7,7.4,3.1,14.3
4,2,2,821,390000,2015-02-14,17.4,12.9,21.3,17.7,13.5,26.7,16.2,12.2,24.5
4,1,1,193,390000,2017-08-28,4.6,-1.9,12.4,6.5,2.3,12.6,6.6,2.2,13.3
3,1,2,347,390000,2017-10-23,15.0,8.7,24.7,13.9,8.3,22.8,11.2,6.9,18.7
3,1,2,491,391200,2013-04-18,7.4,7.3,16.2,11.2,6.7,18.9,13.6,8.9,21.2
2,1,0,751,392000,2020-11-24,16.3,13.4,22.1,17.2,10.6,24.9,15.3,9.8,22.1
4,1,1,500,395000,2016-10-28,9.6,6.8,17.1,10.0,7.5,17.0,9.8,7.2,16.4
4,2,0,297,396000,2014-09-16,6.7,7.1,13.5,9.2,5.8,16.3,8.7,4.0,16.5
3,1,1,680,398000,2019-05-07,8.7,1.6,15.1,12.5,8.5,17.9,12.7,7.2,18.9
2,2,0,92,398000,2020-02-12,22.3,17.8,29.7,18.8,13.9,26.5,18.3,13.2,25.1
4,2,1,1004,400000,2012-07-05,3.9,-2.1,10.1,6.5,1.8,13.5,6.6,2.0,13.2
3,1,1,233,400000,2016-09-17,9.9,5.9,16.2,8.9,6.3,15.5,8.6,4.6,15.7
4,2,4,481,400000,2017-06-27,5.4,-2.1,10.4,6.0,1.9,12.8,7.2,2.1,14.1
4,2,0,1109,400000,2019-12-07,14.2,8.3,22.8,12.4,8.4,18.8,13.1,8.3,19.4
3,1,1,230,400000,2023-11-23,18.4,12.8,26.0,15.6,10.1,23.5,14.5,8.8,21.6
3,2,0,343,401000,2015-06-09,3.5,4.9,11.4,7.1,2.3,12.9,7.5,3.2,14.2
